Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Shop-Services,,,,11-06-2024 18:01:44,11-06-2024 18:10:59,9m - 14.400s,ERROR
,,,,,,,
Test Cases/TotalPlay-Shop/TC_1_InterfaceLogin,,,,11-06-2024 18:01:45,11-06-2024 18:01:52,7.079s,PASSED
"LoginResponse = sendRequest(findTestObject(""TotalPlay-Shop/Interface Login (SLAS)"", [""URL"":URL, ""SITEID"":SITEID]))",,,,11-06-2024 18:01:45,11-06-2024 18:01:51,5.777s,PASSED
assert getResponseStatusCode(LoginResponse) == 200,,,,11-06-2024 18:01:51,11-06-2024 18:01:51,0.022s,PASSED
"Auth = ""ocapiResponse.access_token""",,,,11-06-2024 18:01:51,11-06-2024 18:01:51,0.003s,PASSED
"sfccAuthorization = getElementPropertyValue(LoginResponse, Auth)",,,,11-06-2024 18:01:51,11-06-2024 18:01:51,0.104s,PASSED
logInfo(sfccAuthorization),,,,11-06-2024 18:01:51,11-06-2024 18:01:51,0.015s,PASSED
"Authorization = ""Bearer "" + sfccAuthorization",,,,11-06-2024 18:01:51,11-06-2024 18:01:51,0.004s,PASSED
logInfo(bm_auth_token),,,,11-06-2024 18:01:51,11-06-2024 18:01:51,0.004s,PASSED
if (sfccAuthorization.length() == 0),,,,11-06-2024 18:01:51,11-06-2024 18:01:51,0.002s,PASSED
else,,,,11-06-2024 18:01:51,11-06-2024 18:01:51,0.015s,PASSED
"BasketId_loginResponse = ""ocapiResponse.c_basketId""",,,,11-06-2024 18:01:51,11-06-2024 18:01:51,0.003s,PASSED
"CustomerId_loginResponse = ""ocapiResponse.customer_id""",,,,11-06-2024 18:01:51,11-06-2024 18:01:51,0.002s,PASSED
"basketId = getElementPropertyValue(LoginResponse, BasketId_loginResponse)",,,,11-06-2024 18:01:51,11-06-2024 18:01:51,0.049s,PASSED
"customerId = getElementPropertyValue(LoginResponse, CustomerId_loginResponse)",,,,11-06-2024 18:01:51,11-06-2024 18:01:51,0.046s,PASSED
basketID = basketId,,,,11-06-2024 18:01:51,11-06-2024 18:01:51,0.002s,PASSED
sla_customerId = customerId,,,,11-06-2024 18:01:51,11-06-2024 18:01:51,0.002s,PASSED
println(basketID),,,,11-06-2024 18:01:51,11-06-2024 18:01:51,0.006s,PASSED
println(sla_customerId),,,,11-06-2024 18:01:51,11-06-2024 18:01:51,0.003s,PASSED
"refresh_token = ""ocapiResponse.refresh_token""",,,,11-06-2024 18:01:51,11-06-2024 18:01:51,0.003s,PASSED
"customer_email = ""ocapiResponse.customer_email""",,,,11-06-2024 18:01:51,11-06-2024 18:01:51,0.002s,PASSED
"c_brmId = ""ocapiResponse.c_brmId""",,,,11-06-2024 18:01:51,11-06-2024 18:01:51,0.002s,PASSED
"customer_name = ""ocapiResponse.customer_name""",,,,11-06-2024 18:01:51,11-06-2024 18:01:51,0.001s,PASSED
"totalplay.Common.verifyPropertyExist(LoginResponse, refresh_token)",,,,11-06-2024 18:01:51,11-06-2024 18:01:51,0.074s,PASSED
"totalplay.Common.verifyPropertyValueExist(LoginResponse, refresh_token)",,,,11-06-2024 18:01:51,11-06-2024 18:01:52,0.063s,PASSED
"totalplay.Common.verifyPropertyExist(LoginResponse, customer_email)",,,,11-06-2024 18:01:52,11-06-2024 18:01:52,0.043s,PASSED
"totalplay.Common.verifyPropertyValueExist(LoginResponse, customer_email)",,,,11-06-2024 18:01:52,11-06-2024 18:01:52,0.050s,PASSED
"totalplay.Common.verifyPropertyExist(LoginResponse, customer_name)",,,,11-06-2024 18:01:52,11-06-2024 18:01:52,0.047s,PASSED
"totalplay.Common.verifyPropertyValueExist(LoginResponse, customer_name)",,,,11-06-2024 18:01:52,11-06-2024 18:01:52,0.041s,PASSED
"totalplay.Common.verifyPropertyExist(LoginResponse, c_brmId)",,,,11-06-2024 18:01:52,11-06-2024 18:01:52,0.051s,PASSED
"totalplay.Common.verifyPropertyValueExist(LoginResponse, c_brmId)",,,,11-06-2024 18:01:52,11-06-2024 18:01:52,0.057s,PASSED
,,,,,,,
Test Cases/TotalPlay-Shop/TC_2_StoreListingPage(SLP),,,,11-06-2024 18:01:52,11-06-2024 18:02:04,11.878s,ERROR
"callTestCase(findTestCase(""TotalPlay-Shop/TC_1_InterfaceLogin""), [:], STOP_ON_FAILURE)",,,,11-06-2024 18:01:54,11-06-2024 18:01:56,2.471s,PASSED
"SLP_Response = sendRequest(findTestObject(""TotalPlay-Shop/Postman/SLP/Store Listing Page"", [""URL"":URL, ""SITEID"":SITEID]))",,,,11-06-2024 18:01:56,11-06-2024 18:02:02,5.922s,PASSED
"verifyResponseStatusCode(SLP_Response, 200)",,,,11-06-2024 18:02:02,11-06-2024 18:02:02,0.016s,PASSED
"homebanner_pageId = ""pageId""",,,,11-06-2024 18:02:02,11-06-2024 18:02:02,0.001s,PASSED
"homebanner_pageTypeId = ""pageTypeId""",,,,11-06-2024 18:02:02,11-06-2024 18:02:02,0.000s,PASSED
"homebanner_pageTitle = ""pageTitle""",,,,11-06-2024 18:02:02,11-06-2024 18:02:02,0.002s,PASSED
"homebanner_componentTypeId = ""components[0].componentTypeId""",,,,11-06-2024 18:02:02,11-06-2024 18:02:02,0.001s,PASSED
"homebanner_componentType = ""components[0].componentType""",,,,11-06-2024 18:02:02,11-06-2024 18:02:02,0.000s,PASSED
"homebanner_textHeadline = ""components[0].textHeadline""",,,,11-06-2024 18:02:02,11-06-2024 18:02:02,0.002s,PASSED
"homebanner_bannerLayout = ""components[0].bannerLayout""",,,,11-06-2024 18:02:02,11-06-2024 18:02:02,0.002s,PASSED
"homebanner_componentTypeId = ""components[0].componentAssets[1].componentTypeId""",,,,11-06-2024 18:02:02,11-06-2024 18:02:02,0.001s,PASSED
"homebanner_componentType = ""components[0].componentAssets[1].componentType""",,,,11-06-2024 18:02:02,11-06-2024 18:02:02,0.001s,PASSED
"homebanner_image = ""components[0].componentAssets[1].image""",,,,11-06-2024 18:02:02,11-06-2024 18:02:02,0.001s,PASSED
"homebanner_bannerDesc = ""components[0].componentAssets[1].bannerDesc""",,,,11-06-2024 18:02:02,11-06-2024 18:02:02,0.001s,PASSED
"homebanner_isAgeRestricted = ""components[0].componentAssets[1].isAgeRestricted""",,,,11-06-2024 18:02:02,11-06-2024 18:02:02,0.001s,PASSED
"homebanner_link = ""components[0].componentAssets[1].link""",,,,11-06-2024 18:02:02,11-06-2024 18:02:02,0.000s,PASSED
"homebanner_weblink = ""components[0].componentAssets[1].weblink""",,,,11-06-2024 18:02:02,11-06-2024 18:02:02,0.000s,PASSED
"homebanner_bannerName = ""components[0].componentAssets[1].bannerName""",,,,11-06-2024 18:02:02,11-06-2024 18:02:02,0.000s,PASSED
"homebanner_linkType = ""components[0].componentAssets[1].linkType""",,,,11-06-2024 18:02:02,11-06-2024 18:02:02,0.001s,PASSED
"homebanner_storeLogo = ""components[0].componentAssets[1].storeLogo""",,,,11-06-2024 18:02:02,11-06-2024 18:02:02,0.002s,PASSED
"homebanner_corporateColorCode = ""components[0].componentAssets[1].corporateColorCode""",,,,11-06-2024 18:02:02,11-06-2024 18:02:02,0.001s,PASSED
"CategoryCluster_componentTypeId = ""components[1].componentTypeId""",,,,11-06-2024 18:02:02,11-06-2024 18:02:02,0.002s,PASSED
"CategoryCluster_componentType = ""components[1].componentType""",,,,11-06-2024 18:02:02,11-06-2024 18:02:02,0.001s,PASSED
"CategoryCluster_storeSelectorvalue = ""components[1].storeSelector.value""",,,,11-06-2024 18:02:02,11-06-2024 18:02:02,0.000s,PASSED
"CategoryCluster_groupingName = ""components[1].groupingName""",,,,11-06-2024 18:02:02,11-06-2024 18:02:02,0.001s,PASSED
"CategoryCluster_isCluster = ""components[1].isCluster""",,,,11-06-2024 18:02:02,11-06-2024 18:02:02,0.000s,PASSED
"CategoryCluster_clusterName = ""components[1].clusterName""",,,,11-06-2024 18:02:02,11-06-2024 18:02:02,0.000s,PASSED
"CategoryCluster_nodesLength = ""components[1].nodesLength""",,,,11-06-2024 18:02:02,11-06-2024 18:02:02,0.000s,PASSED
"CategoryCluster_link = ""components[1].link""",,,,11-06-2024 18:02:02,11-06-2024 18:02:02,0.001s,PASSED
"CategoryCluster_linkType = ""components[1].linkType""",,,,11-06-2024 18:02:02,11-06-2024 18:02:02,0.001s,PASSED
"CategoryCluster_ID = ""components[1].storeList[0].ID""",,,,11-06-2024 18:02:02,11-06-2024 18:02:02,0.001s,PASSED
"CategoryCluster_name = ""components[1].storeList[0].name""",,,,11-06-2024 18:02:02,11-06-2024 18:02:02,0.002s,PASSED
"CategoryCluster_logo = ""components[1].storeList[0].logo""",,,,11-06-2024 18:02:02,11-06-2024 18:02:02,0.001s,PASSED
"CategoryCluster_corporateColorCode = ""components[1].storeList[0].corporateColorCode""",,,,11-06-2024 18:02:02,11-06-2024 18:02:02,0.001s,PASSED
"CategoryCluster_corporateName = ""components[1].storeList[0].corporateName""",,,,11-06-2024 18:02:02,11-06-2024 18:02:02,0.002s,PASSED
"CategoryCluster_storeOpen = ""components[1].storeList[0].storeOpen""",,,,11-06-2024 18:02:02,11-06-2024 18:02:02,0.001s,PASSED
"CategoryCluster_OpenHrs = ""components[1].storeList[0].OpenHrs""",,,,11-06-2024 18:02:02,11-06-2024 18:02:02,0.001s,PASSED
"CategoryCluster_multistoreEDD = ""components[1].storeList[0].multistoreEDD""",,,,11-06-2024 18:02:02,11-06-2024 18:02:02,0.001s,PASSED
"CategoryCluster_isAgeRestricted = ""components[1].storeList[0].isAgeRestricted""",,,,11-06-2024 18:02:02,11-06-2024 18:02:02,0.000s,PASSED
"CategoryCluster_link = ""components[1].storeList[0].link""",,,,11-06-2024 18:02:02,11-06-2024 18:02:02,0.000s,PASSED
"CategoryCluster_linkType = ""components[1].storeList[0].linkType""",,,,11-06-2024 18:02:02,11-06-2024 18:02:02,0.000s,PASSED
"CategoryCluster1_componentTypeId = ""components[2].componentTypeId""",,,,11-06-2024 18:02:02,11-06-2024 18:02:02,0.002s,PASSED
"CategoryCluster1_componentType = ""components[2].componentType""",,,,11-06-2024 18:02:02,11-06-2024 18:02:02,0.000s,PASSED
"CategoryCluster1_storeSelectorvalue = ""components[2].storeSelector.value""",,,,11-06-2024 18:02:02,11-06-2024 18:02:02,0.001s,PASSED
"CategoryCluster1_groupingName = ""components[2].groupingName""",,,,11-06-2024 18:02:02,11-06-2024 18:02:02,0.002s,PASSED
"CategoryCluster1_isCluster = ""components[2].isCluster""",,,,11-06-2024 18:02:02,11-06-2024 18:02:02,0.001s,PASSED
"CategoryCluster1_clusterName = ""components[2].clusterName""",,,,11-06-2024 18:02:02,11-06-2024 18:02:02,0.001s,PASSED
"CategoryCluster1_nodesLength = ""components[2].nodesLength""",,,,11-06-2024 18:02:02,11-06-2024 18:02:02,0.001s,PASSED
"CategoryCluster1_link = ""components[2].link""",,,,11-06-2024 18:02:02,11-06-2024 18:02:02,0.001s,PASSED
"CategoryCluster1_linkType = ""components[2].linkType""",,,,11-06-2024 18:02:02,11-06-2024 18:02:02,0.001s,PASSED
"CategoryCluster1_ID = ""components[2].storeList[0].ID""",,,,11-06-2024 18:02:02,11-06-2024 18:02:02,0.001s,PASSED
"CategoryCluster1_name = ""components[2].storeList[0].name""",,,,11-06-2024 18:02:02,11-06-2024 18:02:02,0.001s,PASSED
"CategoryCluster1_logo = ""components[2].storeList[0].logo""",,,,11-06-2024 18:02:02,11-06-2024 18:02:02,0.001s,PASSED
"CategoryCluster1_corporateColorCode = ""components[2].storeList[0].corporateColorCode""",,,,11-06-2024 18:02:02,11-06-2024 18:02:02,0.000s,PASSED
"CategoryCluster1_corporateName = ""components[2].storeList[0].corporateName""",,,,11-06-2024 18:02:02,11-06-2024 18:02:02,0.001s,PASSED
"CategoryCluster1_isInRange = ""components[2].storeList[0].isInRange""",,,,11-06-2024 18:02:02,11-06-2024 18:02:02,0.001s,PASSED
"CategoryCluster1_storeOpen = ""components[2].storeList[0].storeOpen""",,,,11-06-2024 18:02:02,11-06-2024 18:02:02,0.001s,PASSED
