Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Food_Services,,,,26-07-2024 17:57:18,26-07-2024 17:58:40,1m - 21.504s,PASSED
,,,,,,,
Test Cases/TotalPlay-Food/TC_1_Login_Service,,,,26-07-2024 17:57:19,26-07-2024 17:57:26,7.092s,PASSED
"LoginResponse = sendRequest(findTestObject(""TotalPlay-Food/getTokenDelivery"", [""URL"":URL]))",,,,26-07-2024 17:57:19,26-07-2024 17:57:25,5.871s,PASSED
assert getResponseStatusCode(LoginResponse) == 200,,,,26-07-2024 17:57:25,26-07-2024 17:57:25,0.023s,PASSED
"Auth = ""ocapiResponse.access_token""",,,,26-07-2024 17:57:25,26-07-2024 17:57:25,0.002s,PASSED
"FoodBascketId = ""ocapiResponse.c_basketId_TP_FOOD""",,,,26-07-2024 17:57:25,26-07-2024 17:57:25,0.002s,PASSED
"FoodBasId = getElementPropertyValue(LoginResponse, FoodBascketId)",,,,26-07-2024 17:57:25,26-07-2024 17:57:25,0.108s,PASSED
"sfccAuthorization = getElementPropertyValue(LoginResponse, Auth)",,,,26-07-2024 17:57:25,26-07-2024 17:57:25,0.045s,PASSED
"Authorization = ""Bearer "" + sfccAuthorization",,,,26-07-2024 17:57:25,26-07-2024 17:57:25,0.003s,PASSED
FoodBasketId = FoodBasId,,,,26-07-2024 17:57:25,26-07-2024 17:57:25,0.002s,PASSED
logInfo(bm_auth_token),,,,26-07-2024 17:57:25,26-07-2024 17:57:25,0.013s,PASSED
if (sfccAuthorization.length() == 0),,,,26-07-2024 17:57:25,26-07-2024 17:57:25,0.002s,PASSED
else,,,,26-07-2024 17:57:25,26-07-2024 17:57:25,0.014s,PASSED
"BasketId_loginResponse = ""ocapiResponse.c_basketId""",,,,26-07-2024 17:57:25,26-07-2024 17:57:25,0.001s,PASSED
"CustomerId_loginResponse = ""ocapiResponse.customer_id""",,,,26-07-2024 17:57:25,26-07-2024 17:57:25,0.001s,PASSED
"basketId = getElementPropertyValue(LoginResponse, BasketId_loginResponse)",,,,26-07-2024 17:57:25,26-07-2024 17:57:25,0.041s,PASSED
"customerId = getElementPropertyValue(LoginResponse, CustomerId_loginResponse)",,,,26-07-2024 17:57:25,26-07-2024 17:57:25,0.042s,PASSED
basketID = basketId,,,,26-07-2024 17:57:25,26-07-2024 17:57:25,0.001s,PASSED
sla_customerId = customerId,,,,26-07-2024 17:57:25,26-07-2024 17:57:25,0.002s,PASSED
println(basketID),,,,26-07-2024 17:57:25,26-07-2024 17:57:25,0.005s,PASSED
println(sla_customerId),,,,26-07-2024 17:57:25,26-07-2024 17:57:25,0.002s,PASSED
"refresh_token = ""ocapiResponse.refresh_token""",,,,26-07-2024 17:57:25,26-07-2024 17:57:25,0.001s,PASSED
"customer_email = ""ocapiResponse.customer_email""",,,,26-07-2024 17:57:25,26-07-2024 17:57:25,0.001s,PASSED
"c_brmId = ""ocapiResponse.c_brmId""",,,,26-07-2024 17:57:25,26-07-2024 17:57:25,0.002s,PASSED
"customer_name = ""ocapiResponse.customer_name""",,,,26-07-2024 17:57:25,26-07-2024 17:57:25,0.001s,PASSED
"totalplay.Common.verifyPropertyExist(LoginResponse, refresh_token)",,,,26-07-2024 17:57:25,26-07-2024 17:57:26,0.063s,PASSED
"totalplay.Common.verifyPropertyValueExist(LoginResponse, refresh_token)",,,,26-07-2024 17:57:26,26-07-2024 17:57:26,0.041s,PASSED
"totalplay.Common.verifyPropertyExist(LoginResponse, customer_email)",,,,26-07-2024 17:57:26,26-07-2024 17:57:26,0.042s,PASSED
"totalplay.Common.verifyPropertyValueExist(LoginResponse, customer_email)",,,,26-07-2024 17:57:26,26-07-2024 17:57:26,0.035s,PASSED
"totalplay.Common.verifyPropertyExist(LoginResponse, customer_name)",,,,26-07-2024 17:57:26,26-07-2024 17:57:26,0.038s,PASSED
"totalplay.Common.verifyPropertyValueExist(LoginResponse, customer_name)",,,,26-07-2024 17:57:26,26-07-2024 17:57:26,0.040s,PASSED
"totalplay.Common.verifyPropertyExist(LoginResponse, c_brmId)",,,,26-07-2024 17:57:26,26-07-2024 17:57:26,0.049s,PASSED
"totalplay.Common.verifyPropertyValueExist(LoginResponse, c_brmId)",,,,26-07-2024 17:57:26,26-07-2024 17:57:26,0.044s,PASSED
,,,,,,,
Test Cases/TotalPlay-Food/TC_2_Food_Store_Listing_Page_(SLP),,,,26-07-2024 17:57:26,26-07-2024 17:57:33,7.454s,PASSED
"callTestCase(findTestCase(""TotalPlay-Food/TC_1_Login_Service""), [:], STOP_ON_FAILURE)",,,,26-07-2024 17:57:26,26-07-2024 17:57:30,3.793s,PASSED
"FoodSLP = sendRequest(findTestObject(""TotalPlay-Food/Food SLP"", [""URL"":URL]))",,,,26-07-2024 17:57:30,26-07-2024 17:57:32,1.599s,PASSED
"verifyResponseStatusCode(FoodSLP, 200)",,,,26-07-2024 17:57:32,26-07-2024 17:57:32,0.021s,PASSED
"pageId = ""pageId""",,,,26-07-2024 17:57:32,26-07-2024 17:57:32,0.001s,PASSED
"pageTypeId = ""pageTypeId""",,,,26-07-2024 17:57:32,26-07-2024 17:57:32,0.002s,PASSED
"pageTitle = ""pageTitle""",,,,26-07-2024 17:57:32,26-07-2024 17:57:32,0.001s,PASSED
"components_componentTypeId = ""components[0].componentTypeId""",,,,26-07-2024 17:57:32,26-07-2024 17:57:32,0.002s,PASSED
