Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Food_Service_Normal_Flow_PlaceOrder,,,,04-09-2024 14:29:55,04-09-2024 14:33:09,3m - 13.967s,PASSED
,,,,,,,
Test Cases/TotalPlay-Food/TC_1_Login_Service,,,,04-09-2024 14:29:55,04-09-2024 14:30:04,9.004s,PASSED
"LoginResponse = sendRequest(findTestObject(""TotalPlay-Food/getTokenDelivery"", [""URL"":URL]))",,,,04-09-2024 14:29:56,04-09-2024 14:30:03,7.598s,PASSED
assert getResponseStatusCode(LoginResponse) == 200,,,,04-09-2024 14:30:03,04-09-2024 14:30:03,0.025s,PASSED
"Auth = ""ocapiResponse.access_token""",,,,04-09-2024 14:30:03,04-09-2024 14:30:03,0.002s,PASSED
"FoodBascketId = ""ocapiResponse.c_basketId_TP_FOOD""",,,,04-09-2024 14:30:03,04-09-2024 14:30:03,0.003s,PASSED
"FoodBasId = getElementPropertyValue(LoginResponse, FoodBascketId)",,,,04-09-2024 14:30:03,04-09-2024 14:30:04,0.111s,PASSED
"sfccAuthorization = getElementPropertyValue(LoginResponse, Auth)",,,,04-09-2024 14:30:04,04-09-2024 14:30:04,0.053s,PASSED
"Authorization = ""Bearer "" + sfccAuthorization",,,,04-09-2024 14:30:04,04-09-2024 14:30:04,0.003s,PASSED
FoodBasketId = FoodBasId,,,,04-09-2024 14:30:04,04-09-2024 14:30:04,0.001s,PASSED
logInfo(bm_auth_token),,,,04-09-2024 14:30:04,04-09-2024 14:30:04,0.014s,PASSED
if (sfccAuthorization.length() == 0),,,,04-09-2024 14:30:04,04-09-2024 14:30:04,0.002s,PASSED
else,,,,04-09-2024 14:30:04,04-09-2024 14:30:04,0.014s,PASSED
"BasketId_loginResponse = ""ocapiResponse.c_basketId""",,,,04-09-2024 14:30:04,04-09-2024 14:30:04,0.001s,PASSED
"CustomerId_loginResponse = ""ocapiResponse.customer_id""",,,,04-09-2024 14:30:04,04-09-2024 14:30:04,0.002s,PASSED
"basketId = getElementPropertyValue(LoginResponse, BasketId_loginResponse)",,,,04-09-2024 14:30:04,04-09-2024 14:30:04,0.038s,PASSED
"customerId = getElementPropertyValue(LoginResponse, CustomerId_loginResponse)",,,,04-09-2024 14:30:04,04-09-2024 14:30:04,0.034s,PASSED
basketID = basketId,,,,04-09-2024 14:30:04,04-09-2024 14:30:04,0.002s,PASSED
sla_customerId = customerId,,,,04-09-2024 14:30:04,04-09-2024 14:30:04,0.003s,PASSED
println(basketID),,,,04-09-2024 14:30:04,04-09-2024 14:30:04,0.006s,PASSED
println(sla_customerId),,,,04-09-2024 14:30:04,04-09-2024 14:30:04,0.002s,PASSED
"refresh_token = ""ocapiResponse.refresh_token""",,,,04-09-2024 14:30:04,04-09-2024 14:30:04,0.001s,PASSED
"customer_email = ""ocapiResponse.customer_email""",,,,04-09-2024 14:30:04,04-09-2024 14:30:04,0.003s,PASSED
"c_brmId = ""ocapiResponse.c_brmId""",,,,04-09-2024 14:30:04,04-09-2024 14:30:04,0.001s,PASSED
"customer_name = ""ocapiResponse.customer_name""",,,,04-09-2024 14:30:04,04-09-2024 14:30:04,0.001s,PASSED
"totalplay.Common.verifyPropertyExist(LoginResponse, refresh_token)",,,,04-09-2024 14:30:04,04-09-2024 14:30:04,0.069s,PASSED
"totalplay.Common.verifyPropertyValueExist(LoginResponse, refresh_token)",,,,04-09-2024 14:30:04,04-09-2024 14:30:04,0.052s,PASSED
"totalplay.Common.verifyPropertyExist(LoginResponse, customer_email)",,,,04-09-2024 14:30:04,04-09-2024 14:30:04,0.051s,PASSED
