Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Food_Service_Normal_Flow,,,,10-09-2024 14:11:14,10-09-2024 14:14:10,2m - 55.555s,PASSED
,,,,,,,
Test Cases/TotalPlay-Food/TC_1_Login_Service,,,,10-09-2024 14:11:15,10-09-2024 14:11:27,11.583s,PASSED
"LoginResponse = sendRequest(findTestObject(""TotalPlay-Food/getTokenDelivery"", [""URL"":URL]))",,,,10-09-2024 14:11:17,10-09-2024 14:11:26,8.798s,PASSED
totalplay.Common.printResponseinText(LoginResponse),,,,10-09-2024 14:11:26,10-09-2024 14:11:26,0.079s,PASSED
assert getResponseStatusCode(LoginResponse) == 200,,,,10-09-2024 14:11:26,10-09-2024 14:11:26,0.023s,PASSED
"Auth = ""ocapiResponse.access_token""",,,,10-09-2024 14:11:26,10-09-2024 14:11:26,0.003s,PASSED
"FoodBascketId = ""ocapiResponse.c_basketId_TP_FOOD""",,,,10-09-2024 14:11:26,10-09-2024 14:11:26,0.003s,PASSED
"FoodBasId = getElementPropertyValue(LoginResponse, FoodBascketId)",,,,10-09-2024 14:11:26,10-09-2024 14:11:26,0.099s,PASSED
"sfccAuthorization = getElementPropertyValue(LoginResponse, Auth)",,,,10-09-2024 14:11:26,10-09-2024 14:11:26,0.053s,PASSED
"Authorization = ""Bearer "" + sfccAuthorization",,,,10-09-2024 14:11:26,10-09-2024 14:11:26,0.003s,PASSED
FoodBasketId = FoodBasId,,,,10-09-2024 14:11:26,10-09-2024 14:11:26,0.002s,PASSED
logInfo(bm_auth_token),,,,10-09-2024 14:11:26,10-09-2024 14:11:26,0.017s,PASSED
if (sfccAuthorization.length() == 0),,,,10-09-2024 14:11:26,10-09-2024 14:11:26,0.002s,PASSED
else,,,,10-09-2024 14:11:26,10-09-2024 14:11:26,0.014s,PASSED
"BasketId_loginResponse = ""ocapiResponse.c_basketId""",,,,10-09-2024 14:11:26,10-09-2024 14:11:26,0.001s,PASSED
"CustomerId_loginResponse = ""ocapiResponse.customer_id""",,,,10-09-2024 14:11:26,10-09-2024 14:11:26,0.002s,PASSED
"basketId = getElementPropertyValue(LoginResponse, BasketId_loginResponse)",,,,10-09-2024 14:11:26,10-09-2024 14:11:26,0.061s,PASSED
"customerId = getElementPropertyValue(LoginResponse, CustomerId_loginResponse)",,,,10-09-2024 14:11:26,10-09-2024 14:11:26,0.046s,PASSED
basketID = basketId,,,,10-09-2024 14:11:26,10-09-2024 14:11:26,0.002s,PASSED
sla_customerId = customerId,,,,10-09-2024 14:11:26,10-09-2024 14:11:26,0.002s,PASSED
println(basketID),,,,10-09-2024 14:11:26,10-09-2024 14:11:26,0.005s,PASSED
println(sla_customerId),,,,10-09-2024 14:11:26,10-09-2024 14:11:26,0.002s,PASSED
"refresh_token = ""ocapiResponse.refresh_token""",,,,10-09-2024 14:11:26,10-09-2024 14:11:26,0.002s,PASSED
"customer_email = ""ocapiResponse.customer_email""",,,,10-09-2024 14:11:26,10-09-2024 14:11:26,0.002s,PASSED
"c_brmId = ""ocapiResponse.c_brmId""",,,,10-09-2024 14:11:26,10-09-2024 14:11:26,0.002s,PASSED
"customer_name = ""ocapiResponse.customer_name""",,,,10-09-2024 14:11:26,10-09-2024 14:11:26,0.002s,PASSED
"totalplay.Common.verifyPropertyExist(LoginResponse, refresh_token)",,,,10-09-2024 14:11:26,10-09-2024 14:11:26,0.062s,PASSED
"totalplay.Common.verifyPropertyValueExist(LoginResponse, refresh_token)",,,,10-09-2024 14:11:26,10-09-2024 14:11:26,0.069s,PASSED
"totalplay.Common.verifyPropertyExist(LoginResponse, customer_email)",,,,10-09-2024 14:11:26,10-09-2024 14:11:26,0.064s,PASSED
"totalplay.Common.verifyPropertyValueExist(LoginResponse, customer_email)",,,,10-09-2024 14:11:26,10-09-2024 14:11:26,0.062s,PASSED
"totalplay.Common.verifyPropertyExist(LoginResponse, customer_name)",,,,10-09-2024 14:11:26,10-09-2024 14:11:27,0.066s,PASSED
"totalplay.Common.verifyPropertyValueExist(LoginResponse, customer_name)",,,,10-09-2024 14:11:27,10-09-2024 14:11:27,0.064s,PASSED
"totalplay.Common.verifyPropertyExist(LoginResponse, c_brmId)",,,,10-09-2024 14:11:27,10-09-2024 14:11:27,0.077s,PASSED
"totalplay.Common.verifyPropertyValueExist(LoginResponse, c_brmId)",,,,10-09-2024 14:11:27,10-09-2024 14:11:27,0.064s,PASSED
,,,,,,,
Test Cases/TotalPlay-Food/TC_2_Food_Store_Listing_Page_(SLP),,,,10-09-2024 14:11:27,10-09-2024 14:11:43,15.870s,PASSED
"callTestCase(findTestCase(""TotalPlay-Food/TC_1_Login_Service""), [:], STOP_ON_FAILURE)",,,,10-09-2024 14:11:29,10-09-2024 14:11:33,4.067s,PASSED
"FoodSLP = sendRequest(findTestObject(""TotalPlay-Food/Food SLP"", [""URL"":URL]))",,,,10-09-2024 14:11:33,10-09-2024 14:11:35,1.721s,PASSED
"verifyResponseStatusCode(FoodSLP, 200)",,,,10-09-2024 14:11:35,10-09-2024 14:11:35,0.040s,PASSED
"pageId = ""pageId""",,,,10-09-2024 14:11:35,10-09-2024 14:11:35,0.002s,PASSED
"pageTypeId = ""pageTypeId""",,,,10-09-2024 14:11:35,10-09-2024 14:11:35,0.002s,PASSED
"pageTitle = ""pageTitle""",,,,10-09-2024 14:11:35,10-09-2024 14:11:35,0.002s,PASSED
"components_0_componentTypeId = ""components[0].componentTypeId""",,,,10-09-2024 14:11:35,10-09-2024 14:11:35,0.002s,PASSED
"components_0_componentType = ""components[0].componentType""",,,,10-09-2024 14:11:35,10-09-2024 14:11:35,0.002s,PASSED
"components_0_bannerLayout = ""components[0].bannerLayout""",,,,10-09-2024 14:11:35,10-09-2024 14:11:35,0.002s,PASSED
"components_0_textHeadline = ""components[0].textHeadline""",,,,10-09-2024 14:11:35,10-09-2024 14:11:35,0.002s,PASSED
"components_0_componentAssets_0_componentTypeId = ""components[0].componentAssets[0].componentTypeId""",,,,10-09-2024 14:11:35,10-09-2024 14:11:35,0.003s,PASSED
"components_0_componentAssets_0_componentType = ""components[0].componentAssets[0].componentType""",,,,10-09-2024 14:11:35,10-09-2024 14:11:35,0.002s,PASSED
"components_0_componentAssets_0_image = ""components[0].componentAssets[0].image""",,,,10-09-2024 14:11:35,10-09-2024 14:11:35,0.002s,PASSED
"components_0_componentAssets_0_bannerDesc = ""components[0].componentAssets[0].bannerDesc""",,,,10-09-2024 14:11:35,10-09-2024 14:11:35,0.002s,PASSED
"components_0_componentAssets_0_isAgeRestricted = ""components[0].componentAssets[0].isAgeRestricted""",,,,10-09-2024 14:11:35,10-09-2024 14:11:35,0.003s,PASSED
"components_0_componentAssets_0_link = ""components[0].componentAssets[0].link""",,,,10-09-2024 14:11:35,10-09-2024 14:11:35,0.001s,PASSED
"components_0_componentAssets_0_storeSelector_value = ""components[0].componentAssets[0].storeSelector.value""",,,,10-09-2024 14:11:35,10-09-2024 14:11:35,0.004s,PASSED
"components_0_componentAssets_0_bannerName = ""components[0].componentAssets[0].bannerName""",,,,10-09-2024 14:11:35,10-09-2024 14:11:35,0.002s,PASSED
"components_0_componentAssets_0_linkType = ""components[0].componentAssets[0].linkType""",,,,10-09-2024 14:11:35,10-09-2024 14:11:35,0.003s,PASSED
"components_0_componentAssets_0_storeId = ""components[0].componentAssets[0].storeId""",,,,10-09-2024 14:11:35,10-09-2024 14:11:35,0.002s,PASSED
"components_0_componentAssets_0_promotion = ""components[0].componentAssets[0].promotion""",,,,10-09-2024 14:11:35,10-09-2024 14:11:35,0.004s,PASSED
"components_0_componentAssets_0_storeName = ""components[0].componentAssets[0].storeName""",,,,10-09-2024 14:11:35,10-09-2024 14:11:35,0.003s,PASSED
"components_0_componentAssets_0_ID = ""components[0].componentAssets[0].ID""",,,,10-09-2024 14:11:35,10-09-2024 14:11:35,0.002s,PASSED
"components_0_componentAssets_0_corporateColorCode = ""components[0].componentAssets[0].corporateColorCode""",,,,10-09-2024 14:11:35,10-09-2024 14:11:35,0.003s,PASSED
"components_0_componentAssets_0_deliveryTime = ""components[0].componentAssets[0].deliveryTime""",,,,10-09-2024 14:11:35,10-09-2024 14:11:35,0.002s,PASSED
"components_0_componentAssets_0_positionAfter = ""components[0].componentAssets[0].positionAfter""",,,,10-09-2024 14:11:35,10-09-2024 14:11:35,0.002s,PASSED
"components_1_componentTypeId = ""components[1].componentTypeId""",,,,10-09-2024 14:11:35,10-09-2024 14:11:35,0.003s,PASSED
"components_1_componentType = ""components[1].componentType""",,,,10-09-2024 14:11:35,10-09-2024 14:11:35,0.003s,PASSED
"components_1_groupingName = ""components[1].groupingName""",,,,10-09-2024 14:11:35,10-09-2024 14:11:35,0.002s,PASSED
"components_1_sort = ""components[1].sort""",,,,10-09-2024 14:11:35,10-09-2024 14:11:35,0.002s,PASSED
"components_1_componentAssets = ""components[1].componentAssets""",,,,10-09-2024 14:11:35,10-09-2024 14:11:35,0.002s,PASSED
"components_1_componentAssets_0_componentTypeId = ""components[1].componentAssets[0].componentTypeId""",,,,10-09-2024 14:11:35,10-09-2024 14:11:35,0.002s,PASSED
"components_1_componentAssets_0_componentType = ""components[1].componentAssets[0].componentType""",,,,10-09-2024 14:11:35,10-09-2024 14:11:35,0.003s,PASSED
"components_1_componentAssets_0_category = ""components[1].componentAssets[0].category""",,,,10-09-2024 14:11:35,10-09-2024 14:11:35,0.002s,PASSED
"components_1_componentAssets_0_name = ""components[1].componentAssets[0].name""",,,,10-09-2024 14:11:35,10-09-2024 14:11:35,0.002s,PASSED
"components_1_componentAssets_0_id = ""components[1].componentAssets[0].id""",,,,10-09-2024 14:11:35,10-09-2024 14:11:35,0.002s,PASSED
